nom	site	bucket	detail
allan k	https://www.allank.be/	alive	200
& other stories	https://www.stories.com/	blocked	403
'+vision	https://www.masvision.es/	alive	200
allen edmonds	https://www.allenedmonds.com/	blocked	403
allbirds	https://www.allbirds.com/	alive	200
0&1	https://en.0and1.de/	http-dead	404
allen schwartz	https://www.allenschwartz.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
&daughter	https://www.and-daughter.com/	alive	200
all we remember	https://allweremember.com/	alive	200
alkemie	https://www.alkemiejewelry.com/	alive	200
all the wild roses	https://allthewildroses.com/?oid=4&affid=1&source_id=GoY-rating&sub1=brandpage	alive	200
allthingsfi	https://www.allthingsfi.com.au/	dns-dead	ENOTFOUND
allkind	https://allkind.co.uk/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
allmade	https://allmade.com/	alive	200
10 degrees cooler	https://www.10degreescooler.com/shop	alive	200
allylikes	https://www.allylikes.com/	dns-dead	ENOTFOUND
all my pretties - soap boutique	https://allmypretties.ca/	alive	200
alleyoop	https://meetalleyoop.com/	alive	200
05 studio	https://www.the05studio.com/	http-dead	404
all heart all the time	https://allheartallthetime.com/	alive	200
allegresse 24 karat skincare	http://www.allegressebeauty.com/	blocked	503
all blues	https://allblues.se/	alive	200
'47	https://www.47brand.com/	alive	200
all natural advice	http://www.allnaturaladvice.com/	alive	200
allude	https://allude-cashmere.com/	alive	200
alonpi	https://alonpi.com/	alive	200
all good	https://www.allgoodproducts.com/	alive	200
alpenflüstern	https://www.alpenfluestern.de/	alive	200
allurez	http://www.allurez.com/	blocked	403
ally capellino	https://www.allycapellino.co.uk/	alive	200
0039 italy	http://www.0039italy.com/	alive	200
alpenkaetzle	https://www.alpenkaetzle.de/	alive	200
(di)vision	https://di-vsn.com/	alive	200
alove	https://www.alove.cz/	alive	200
all golden	http://allgolden.com/	alive	200
alpina	https://www.alpinasports.com/	alive	200
alltrueist by maryna	https://www.alltrueist.com/collections/alltrueist-by-maryna	alive	200
1 people	https://1people.com/	alive	200
11 degrees	https://www.11degrees.eu/	alive	200
almahats	https://almahats.com/	alive	200
aloe	https://www.al-oe.fr/	alive	200
all things jill	http://www.allthingsjill.ca/	alive	200
almay	http://www.almay.com/	alive	200
alpha60	https://www.alpha60.com.au/	alive	200
'+1f	https://plus1frame.jp/	alive	200
almgwand	https://www.almgwand.at/	alive	200
100% capri	https://100capri.com/	alive	200
100% pure	http://www.100percentpure.com/	alive	200
100bon	https://www.100bon.com/	alive	200
0711	http://0711tbilisi.com/	alive	200
altar'd state	https://www.altardstate.com/	blocked	403
alo diamonds	https://www.alo.cz/	alive	200
alphatauri	https://alphatauri.com/	alive	200
1017 alyx 9sm	https://www.alyxstudio.com/	http-dead	404
alpenglow	https://shopalpenglowapparel.com/	http-dead	402
alōh	https://www.alobrands.com/	alive	200
alpha organics	http://thealphaorganics.com/	alive	200
